6.000000238418579102e-01,5.600000023841857910e-01,6.010000109672546387e-01,8.249999880790710449e-01,8.149999976158142090e-01,1.210000038146972878e+00,1.039999961853027122e+00,1.210000038146972878e+00,1.149999976158142090e+00,1.129999995231628418e+00,1.279999971389770508e+00,1.649999976158142090e+00,2.950000047683715820e+00,2.380000114440917969e+00,2.079999923706054688e+00
3.810000121593474787e-01,3.910000026226043146e-01,5.320000052452087402e-01,6.100000143051147461e-01,6.200000047683715820e-01,7.099999785423278809e-01,6.449999809265136719e-01,6.899999976158142090e-01,6.740000247955322266e-01,7.549999952316284180e-01,9.890000224113464355e-01,1.059999942779541016e+00,1.190000057220458984e+00,1.730000019073486328e+00,1.470000028610229492e+00
1.059999942779541016e+00,1.019999980926513672e+00,8.809999823570251465e-01,9.350000023841857910e-01,9.200000166893004261e-01,9.800000190734864391e-01,9.700000286102296032e-01,1.019999980926513672e+00,1.100000023841857910e+00,1.100000023841857910e+00,1.929999947547912820e+00,1.990000009536743164e+00,1.769999980926513672e+00,1.590000033378601074e+00,1.629999995231628418e+00
1.000000000000000000e+00,9.559999704360961914e-01,1.019999980926513672e+00,9.800000190734864391e-01,9.049999713897703968e-01,9.530000090599060059e-01,9.200000166893004261e-01,1.100000023841857910e+00,1.080000042915344238e+00,1.139999985694885254e+00,1.500000000000000000e+00,1.909999966621398926e+00,2.700000047683715820e+00,2.319999933242797852e+00,2.549999952316284180e+00
7.099999785423278809e-01,6.600000262260437012e-01,6.800000071525573730e-01,7.500000000000000000e-01,7.300000190734863281e-01,6.899999976158142090e-01,6.999999880790710449e-01,1.000000000000000000e+00,9.499999880790710449e-01,1.080000042915344238e+00,1.110000014305114746e+00,3.339999914169311523e+00,2.200000047683715820e+00,1.909999966621398926e+00,1.909999966621398926e+00
1.440000057220458984e+00,1.440000057220458984e+00,1.389999985694885254e+00,1.409999966621398926e+00,1.490000009536743164e+00,1.429999947547912598e+00,1.389999985694885254e+00,1.409999966621398926e+00,1.460000038146972878e+00,1.570000052452087402e+00,1.779999971389770508e+00,1.690000057220458984e+00,3.059999942779541016e+00,1.970000028610229270e+00,1.779999971389770508e+00
9.599999785423279919e-01,1.100000023841857910e+00,1.049999952316284180e+00,1.179999947547912598e+00,1.250000000000000000e+00,1.250000000000000000e+00,1.409999966621398926e+00,1.539999961853027122e+00,1.669999957084655762e+00,1.870000004768372026e+00,2.980000019073486328e+00,2.609999895095825195e+00,2.220000028610229048e+00,2.079999923706054688e+00,2.210000038146972656e+00
1.019999980926513672e+00,9.900000095367431641e-01,9.499999880790710449e-01,9.800000190734864391e-01,9.800000190734864391e-01,9.700000286102296032e-01,1.049999952316284180e+00,1.200000047683715820e+00,1.330000042915344238e+00,1.269999980926513672e+00,1.549999952316284180e+00,1.610000014305114746e+00,1.629999995231628418e+00,2.000000000000000000e+00,1.820000052452087624e+00
1.500000059604643943e-01,1.999000012874602994e-01,1.644999980926513117e-01,1.309999972581863126e-01,1.389999985694884976e-01,1.385000050067901056e-01,1.372999995946883878e-01,1.455000042915343961e-01,1.794500052928924005e-01,2.300000041723251065e-01,3.675000071525573730e-01,3.700000047683715820e-01,3.899999856948851984e-01,3.025000095367431086e-01,3.219999969005584162e-01
8.999999761581420898e-01,8.299999833106994629e-01,8.500000238418579102e-01,8.000000119209289551e-01,7.599999904632568359e-01,8.299999833106994629e-01,8.500000238418579102e-01,8.500000238418579102e-01,8.299999833106994629e-01,8.399999737739562988e-01,8.700000047683715820e-01,1.110000014305114746e+00,1.190000057220458984e+00,1.070000052452087402e+00,1.009999990463256836e+00
